Fecha;copa_correspondiente
01/01/2022;0,0
02/01/2022;0,0
03/01/2022;248888027,19140476
04/01/2022;179175394,0431914
05/01/2022;221545196,89488748
06/01/2022;216536386,6053367
07/01/2022;255075742,15765586
08/01/2022;0,0
09/01/2022;0,0
10/01/2022;252491829,26797408
11/01/2022;316385694,0638243
12/01/2022;1342959763,926273
13/01/2022;1285525278,6755495
14/01/2022;895065989,7738994
15/01/2022;0,0
16/01/2022;0,0
17/01/2022;503899088,79460466
18/01/2022;540905550,6781197
19/01/2022;652927802,9520718
20/01/2022;669359363,6495469
21/01/2022;1491992717,671976
22/01/2022;0,0
23/01/2022;0,0
24/01/2022;953258928,1625113
25/01/2022;1167526977,6395168
26/01/2022;1155335935,2930148
27/01/2022;661477536,3243848
28/01/2022;237329923,5717361
29/01/2022;0,0
30/01/2022;0,0
31/01/2022;415216935,43467593
01/02/2022;227143575,02022758
02/02/2022;245956978,24724072
03/02/2022;211285300,7953578
04/02/2022;223686548,71950603
05/02/2022;0,0
06/02/2022;0,0
07/02/2022;237675487,71316326
08/02/2022;294684804,45970935
09/02/2022;301867886,01614475
10/02/2022;464365772,6211754
11/02/2022;1116005782,601953
12/02/2022;0,0
13/02/2022;0,0
14/02/2022;1064918363,2487699
15/02/2022;745393962,8993207
16/02/2022;653097910,4448785
17/02/2022;579926941,9469815
18/02/2022;455156641,8540902
19/02/2022;0,0
20/02/2022;0,0
21/02/2022;365074269,0003311
22/02/2022;1604399317,9212725
23/02/2022;1502160497,7104092
24/02/2022;1440531518,169297
25/02/2022;1344598923,2008698
26/02/2022;0,0
27/02/2022;0,0
28/02/2022;0,0
01/03/2022;0,0
02/03/2022;322900192,86904967
03/03/2022;323442142,330174
04/03/2022;271122845,8905531
05/03/2022;0,0
06/03/2022;0,0
07/03/2022;277284996,0181844
08/03/2022;288340950,35583216
09/03/2022;357615420,74439675
10/03/2022;366571204,432464
11/03/2022;1099996138,1533742
12/03/2022;0,0
13/03/2022;0,0
14/03/2022;903863314,6989497
15/03/2022;755708781,9815906
16/03/2022;488770996,793518
17/03/2022;564345779,8685777
18/03/2022;474857930,5302359
